City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,igarka,67.4667,86.5833,-23.81,96,100,6.97,RU,2023-12-13
208,vila franca do campo,37.7167,-25.4333,18.27,99,72,4.11,PT,2023-12-13
209,nova sintra,14.8667,-24.7167,21.51,64,100,6.95,CV,2023-12-13
210,lorengau,-2.0226,147.2712,27.11,85,100,3.02,PG,2023-12-13
211,arkhangel'sk,64.5401,40.5433,-8.94,92,100,3.0,RU,2023-12-13
212,kruisfontein,-34.0033,24.7314,23.82,55,74,9.03,ZA,2023-12-13
213,new norfolk,-42.7826,147.0587,20.51,98,100,1.46,AU,2023-12-13
214,atambua,-9.1061,124.8925,24.74,88,100,1.33,ID,2023-12-13
215,kovdor,67.5662,30.4758,-22.49,100,77,0.94,RU,2023-12-13
216,san antonio de pale,-1.4014,5.6325,26.84,81,86,3.84,GQ,2023-12-13
217,qaisumah,28.3112,46.1273,21.98,37,20,8.23,SA,2023-12-13
218,cooper's town,26.8667,-77.5167,23.47,85,100,12.81,BS,2023-12-13
219,zhangye,38.9342,100.4517,-5.1,54,89,3.54,CN,2023-12-13
220,chililabombwe,-12.3648,27.8229,24.75,75,100,2.16,ZM,2023-12-13
221,west island,-12.1568,96.8225,26.99,78,40,4.63,CC,2023-12-13
222,mount gambier,-37.8333,140.7667,15.2,86,74,5.17,AU,2023-12-13
223,magadan,59.5667,150.8,-18.04,75,100,5.18,RU,2023-12-13
224,brentwood estates,36.0251,-86.7792,5.98,82,75,1.54,US,2023-12-13
225,crane,31.3974,-102.3501,12.64,92,100,7.86,US,2023-12-13
226,willowmore,-33.2926,23.4895,26.1,20,0,2.0,ZA,2023-12-13
227,saudarkrokur,65.7461,-19.6394,4.83,93,100,6.11,IS,2023-12-13
228,sierra grande,-41.606,-65.3557,22.28,25,5,7.26,AR,2023-12-13
229,guane,22.2025,-84.0875,23.06,89,98,3.22,CU,2023-12-13
230,port moresby,-9.4431,147.1797,25.39,82,86,1.51,PG,2023-12-13
231,tual,-5.6667,132.75,28.82,79,100,4.95,ID,2023-12-13
232,bermeo,43.4209,-2.7215,13.47,84,99,13.27,ES,2023-12-13
233,apolinario saravia,-24.4328,-63.9954,30.54,55,100,5.99,AR,2023-12-13
234,howard springs,-12.497,131.047,26.95,95,100,2.41,AU,2023-12-13
235,quellon,-43.1167,-73.6167,11.35,64,100,0.61,CL,2023-12-13
236,rocha,-34.4833,-54.3333,24.04,74,100,5.29,UY,2023-12-13
237,cidreira,-30.1811,-50.2056,25.31,67,0,5.55,BR,2023-12-13
238,rio grande,-32.035,-52.0986,28.06,79,100,5.71,BR,2023-12-13
239,la'ie,21.6477,-157.9253,22.66,77,37,8.46,US,2023-12-13
240,macau,22.2006,113.5461,22.89,83,40,3.6,MO,2023-12-13
241,diego de almagro,-26.3667,-70.05,23.08,29,1,1.4,CL,2023-12-13
242,luderitz,-26.6481,15.1594,21.72,56,0,12.18,,2023-12-13
243,calabozo,8.9242,-67.4293,28.77,60,16,4.56,VE,2023-12-13
244,lazaro cardenas,17.9583,-102.2,23.82,54,100,2.33,MX,2023-12-13
245,sisimiut,66.9395,-53.6735,-7.82,79,100,7.21,GL,2023-12-13
246,twon-brass,4.3151,6.2418,30.16,35,23,1.67,NG,2023-12-13
247,olonkinbyen,70.9221,-8.7187,0.64,85,100,8.01,SJ,2023-12-13
248,tucurui,-3.7661,-49.6725,31.68,57,19,2.2,BR,2023-12-13
249,xicotepec de juarez,20.3,-97.9667,12.5,95,97,0.78,MX,2023-12-13
250,ulsteinvik,62.3432,5.8487,2.95,81,72,2.24,NO,2023-12-13
251,papao,-17.75,-149.55,25.82,86,99,12.08,PF,2023-12-13
252,nahavand,34.1885,48.377,8.4,63,99,2.18,IR,2023-12-13
253,kidal,18.4411,1.4078,26.05,11,1,5.31,ML,2023-12-13
254,ribeira brava,32.65,-17.0667,20.35,73,90,3.82,PT,2023-12-13
255,huarmey,-10.0681,-78.1522,21.3,83,74,2.69,PE,2023-12-13
256,chimore,-16.9833,-65.1333,27.12,81,100,1.25,BO,2023-12-13
257,samarinda,-0.5,117.15,24.2,97,100,0.69,ID,2023-12-13
258,gazli,40.1333,63.45,-5.53,38,94,11.54,UZ,2023-12-13
259,kupang,-10.1667,123.5833,27.32,94,75,0.51,ID,2023-12-13
260,bardai,11.65,7.2333,27.38,13,0,7.01,NG,2023-12-13
261,kerikeri,-35.2268,173.9474,14.95,87,21,2.59,NZ,2023-12-13
262,berdigestyakh,62.0989,126.6992,-28.11,96,100,3.91,RU,2023-12-13
263,tolanaro,-25.0319,46.9987,30.04,84,40,12.35,MG,2023-12-13
264,kiunga,-6.1219,141.2906,23.62,98,80,1.02,PG,2023-12-13
265,dalton,34.7698,-84.9702,4.99,100,0,0.0,US,2023-12-13
266,phai sali,15.5976,100.6585,26.83,62,11,2.25,TH,2023-12-13
267,vasylkiv,50.1869,30.3135,2.89,99,95,3.28,UA,2023-12-13
268,kingston,17.997,-76.7936,26.78,83,20,1.03,JM,2023-12-13
269,veraval,20.9,70.3667,23.83,47,75,1.71,IN,2023-12-13
270,tarko-sale,64.9225,77.785,-19.0,98,85,3.61,RU,2023-12-13
271,zyryanskoye,56.8306,86.6258,-27.56,92,78,5.22,RU,2023-12-13
272,weno,7.4515,151.8468,27.97,89,75,3.09,FM,2023-12-13
273,jean-rabel,19.8533,-73.1917,25.83,66,100,8.79,HT,2023-12-13
274,daru,-9.0763,143.2092,25.64,90,100,2.9,PG,2023-12-13
275,pandan,14.0453,124.1694,27.41,78,34,7.13,PH,2023-12-13
276,cherryville,53.1569,-6.9667,7.68,86,18,3.19,IE,2023-12-13
277,nishinoomote,30.7333,131.0,18.99,62,11,8.25,JP,2023-12-13
278,santyoku,37.4406,129.1708,7.5,83,100,2.77,KR,2023-12-13
